id,column,category,subcategory,label,pronunciation,subject_mode,parent_photo_behavior,phase,core,growth_stage,meal_context,is_gestalt,gestalt_type,gestalt_meaning,gestalt_target_words,descriptive_clues,audience,authoring_kind,status,prompt_template,notes,acquisition_age,roles_present,objects_present,has_relationship,related_images,personalized,listen_variants
nouns.health.ice_pack,Nouns,Health,,ice pack,,object,none,v1_extended,FALSE,stage_3,,FALSE,,,,An ice pack is cold and squishy. | It helps a bump stop hurting. | It feels chilly on your skin.,universal,canonical,draft,"A {style} of a soft blue ice pack wrapped in a thin towel resting on a bumped elbow — a plain ice pack, no face, eyes, or mouth.",,,,,FALSE,,FALSE,icepack|cold pack
nouns.health.thermometer,Nouns,Health,,thermometer,,object,none,v1_extended,FALSE,stage_3,,FALSE,,,,A thermometer checks how warm you are. | It helps grown-ups know if you are sick. | It only takes a moment.,universal,canonical,draft,"A {style} of a small digital thermometer with numbers on its screen held near a forehead — a plain thermometer, no face, eyes, or mouth.",,,,,FALSE,,FALSE,
nouns.health.lotion,Nouns,Health,,lotion,,object,none,v1_extended,FALSE,stage_3,,FALSE,,,,"Lotion keeps your skin soft. | You rub it in little circles. | It helps dry, itchy skin feel better.",universal,canonical,draft,"A {style} of a squeeze bottle of lotion with a small white dollop on the back of a hand — a plain bottle, no face, eyes, or mouth.",,,,,FALSE,,FALSE,
nouns.health.inhaler,Nouns,Health,,inhaler,,object,none,v1_extended,FALSE,stage_3,,FALSE,,,,"An inhaler helps you breathe easier. | You take a slow, deep breath with it. | A grown-up helps you use it.",universal,canonical,draft,"A {style} of a small blue asthma inhaler with a spacer tube on a bathroom counter — a plain inhaler, no face, eyes, or mouth.",,,,,FALSE,,FALSE,puffer
nouns.tools.tape,Nouns,Tools,,tape,,object,none,v1_extended,FALSE,stage_3,,FALSE,,,,Tape is sticky on one side. | It holds paper together. | It helps fix a torn page.,universal,canonical,draft,"A {style} of a roll of clear tape in a dispenser with a strip being pulled across torn wrapping paper — plain tape, no face, eyes, or mouth.",,,,,FALSE,,FALSE,sticky tape|scotch tape
nouns.tools.rope,Nouns,Tools,,rope,,object,none,v1_extended,FALSE,stage_3,,FALSE,,,,A rope is strong and long. | You can pull big things with it. | It can tie into knots.,universal,canonical,draft,"A {style} of a coiled brown rope with one end tied in a loop lying on garage shelves — a plain rope, no face, eyes, or mouth.",,,,,FALSE,,FALSE,
nouns.tools.ladder,Nouns,Tools,,ladder,,object,none,v1_extended,FALSE,stage_3,,FALSE,,,,A ladder helps grown-ups reach high places. | You climb it one step at a time. | Someone holds it steady.,universal,canonical,draft,"A {style} of a metal step ladder standing open beside a wall with a paint can resting on its shelf — a plain ladder, no face, eyes, or mouth.",,,,,FALSE,,FALSE,
nouns.tools.flashlight,Nouns,Tools,,flashlight,,object,none,v1_extended,FALSE,stage_3,,FALSE,,,,A flashlight makes light in the dark. | You click the button to turn it on. | It is fun to make light circles on the wall.,universal,canonical,draft,"A {style} of a handheld flashlight switched on, throwing a bright beam across a dark tent floor — a plain flashlight, no face, eyes, or mouth.",,,,,FALSE,,FALSE,torch|flash light
nouns.money.piggy_bank,Nouns,Money,,piggy bank,,object,none,v1_extended,FALSE,stage_4,,FALSE,,,,A piggy bank keeps your coins safe. | You drop money in the little slot. | It gets heavier as you save.,universal,canonical,draft,"A {style} of a pink ceramic piggy bank on a dresser with a hand dropping a coin into the top slot — a plain piggy bank, no face, eyes, or mouth.",,,,,FALSE,,FALSE,piggybank|bank
nouns.money.price,Nouns,Money,,price,,object,none,v1_extended,FALSE,stage_4,,FALSE,,,,The price says how much money something costs. | You find it on a little tag. | Grown-ups check it before they buy.,universal,canonical,draft,"A {style} of a price tag with a big number hanging from a toy on a store shelf — a plain tag, no face, eyes, or mouth.",,,,,FALSE,,FALSE,cost|how much
nouns.money.card,Nouns,Money,,card,,object,none,v1_extended,FALSE,stage_4,,FALSE,,,,A card can pay for things like money does. | You tap or swipe it at the store. | It lives in a wallet.,universal,canonical,draft,"A {style} of a bank card being tapped on a store card reader at a checkout counter — a plain card, no face, eyes, or mouth.",,,,,FALSE,,FALSE,credit card|debit card|bank card
verbs.eating.bite,Verbs,Eating & Getting Ready,,bite,,child_as_subject,none,v1_extended,FALSE,stage_2,,FALSE,,,,Bite means using your teeth to take a piece. | You bite an apple with a crunch. | One bite at a time.,universal,canonical,draft,"A {style} of {reference} taking a big bite out of a crisp apple, a bite-shaped piece missing.",,,,,FALSE,,FALSE,
verbs.eating.chew,Verbs,Eating & Getting Ready,,chew,,child_as_subject,none,v1_extended,FALSE,stage_2,,FALSE,,,,Chew means squishing food with your teeth. | You chew before you swallow. | Chewing keeps eating safe.,universal,canonical,draft,"A {style} of {reference} at the table chewing with cheeks puffed, a half-eaten sandwich held in both hands.",,,,,FALSE,,FALSE,
verbs.eating.taste,Verbs,Eating & Getting Ready,,taste,,child_as_subject,none,v1_extended,FALSE,stage_2,,FALSE,,,,Taste means trying a tiny bit of food. | Your tongue tells you if you like it. | One little taste is a great try.,universal,canonical,draft,"A {style} of {reference} touching the tip of their tongue to a spoonful of yogurt, one small careful lick.",,,,,FALSE,,FALSE,try it
verbs.eating.feed,Verbs,Eating & Getting Ready,,feed,,child_as_subject,none,v1_extended,FALSE,stage_2,,FALSE,,,,Feed means giving food to someone else. | You can feed a pet or a baby. | Everyone gets hungry.,universal,canonical,draft,A {style} of {reference} holding out a bowl and scooping food into a dog dish on the kitchen floor.,,,,,FALSE,,FALSE,
verbs.eating.spill,Verbs,Eating & Getting Ready,,spill,,child_as_subject,none,v1_extended,FALSE,stage_2,,FALSE,,,,Spill means something wet got out of its cup. | Spills are accidents and that is okay. | We wipe it up together.,universal,canonical,draft,"A {style} of {reference} looking at a tipped-over cup with juice spreading across the table, paper towel in hand.",,,,,FALSE,,FALSE,spilled
verbs.media.skip_song,Verbs,Screens & Music,,skip song,,child_as_subject,none,v1_extended,FALSE,stage_2,,FALSE,,,,Skip song jumps to the next song. | Use it when this one is not your favorite. | A new song starts right away.,universal,canonical,draft,A {style} of {reference} tapping a music player screen showing a next-track arrow symbol beside a small speaker.,,,,,FALSE,,FALSE,skip|next song|next
verbs.media.record,Verbs,Screens & Music,,record,,child_as_subject,none,v1_extended,FALSE,stage_2,,FALSE,,,,Record saves what is happening right now. | You can watch it again later. | Wave — you are on camera!,universal,canonical,draft,"A {style} of {reference} holding a tablet up with a big round record dot on the screen, filming a block tower.",,,,,FALSE,,FALSE,record it|video
verbs.media.take_picture,Verbs,Screens & Music,,take a picture,,child_as_subject,none,v1_extended,FALSE,stage_2,,FALSE,,,,Take a picture saves what you see. | Hold still and tap the button. | Now you can show everyone.,universal,canonical,draft,"A {style} of {reference} holding a tablet steady with a camera symbol on screen, photographing a drawing on the wall.",,,,,FALSE,,FALSE,take picture|take a photo|photo|picture
verbs.media.plug_in,Verbs,Screens & Music,,plug in,,child_as_subject,none,v1_extended,FALSE,stage_2,,FALSE,,,,Plug in gives a toy or tablet its power. | The cord clicks into the little hole. | Then the battery fills back up.,universal,canonical,draft,A {style} of {reference} pushing a charging cable into the side of a tablet on a couch cushion.,,,,,FALSE,,FALSE,plug it in|charge|charge it
people.team.therapist,People,Helpers,-,Therapist,,,,,,,,,,,,,,,,,,,,,,,,
